Date,Primary Type,Latitude,Longitude
09/06/2023 10:17:00 PM,BATTERY,41.702217,-87.53045
08/31/2023 05:45:00 PM,DECEPTIVE PRACTICE,41.72184,-87.61728
09/06/2023 09:58:00 PM,PUBLIC PEACE VIOLATION,41.90163,-87.70941
09/06/2023 04:00:00 PM,ASSAULT,41.737095,-87.573
09/06/2023 11:19:00 AM,OTHER OFFENSE,41.93951,-87.76489
09/07/2023 12:00:00 AM,MOTOR VEHICLE THEFT,41.727276,-87.58792
08/23/2023 03:00:00 PM,THEFT,41.868496,-87.68364
09/06/2023 07:48:00 PM,BATTERY,41.745907,-87.54914
09/06/2023 04:50:00 PM,THEFT,41.88099,-87.70486
09/06/2023 03:07:00 PM,OTHER OFFENSE,41.97631,-87.68916
09/06/2023 05:30:00 PM,MOTOR VEHICLE THEFT,41.7974,-87.62092
08/31/2023 12:00:00 PM,DECEPTIVE PRACTICE,41.877563,-87.68479
09/06/2023 09:00:00 PM,ASSAULT,41.87003,-87.708824
08/20/2023 02:00:00 AM,MOTOR VEHICLE THEFT,41.707756,-87.58071
09/06/2023 05:29:00 PM,BURGLARY,41.737732,-87.655
09/06/2023 07:00:00 AM,THEFT,41.721184,-87.56235
09/06/2023 01:01:00 PM,ROBBERY,41.900757,-87.73179
09/06/2023 03:00:00 AM,THEFT,41.71181,-87.63932
09/06/2023 11:00:00 PM,MOTOR VEHICLE THEFT,41.86681,-87.62582
09/06/2023 12:22:00 AM,BATTERY,41.923424,-87.730415
09/06/2023 02:51:00 PM,BATTERY,41.793194,-87.68769
09/06/2023 04:30:00 AM,BATTERY,41.8617,-87.7226
09/06/2023 08:40:00 AM,THEFT,41.902924,-87.69729
09/06/2023 05:12:00 PM,THEFT,41.90484,-87.68775
09/06/2023 02:25:00 PM,ASSAULT,41.74499,-87.71761
09/06/2023 08:00:00 PM,MOTOR VEHICLE THEFT,41.997574,-87.69877
09/06/2023 12:36:00 PM,ASSAULT,41.75898,-87.663635
09/02/2023 09:00:00 AM,DECEPTIVE PRACTICE,42.011284,-87.68179
09/06/2023 04:13:00 PM,CRIMINAL DAMAGE,41.76751,-87.68332
09/06/2023 10:30:00 PM,CRIMINAL DAMAGE,41.89938,-87.75571
09/06/2023 09:00:00 PM,BATTERY,41.892475,-87.716225
08/24/2023 07:45:00 PM,THEFT,41.90983,-87.677444
09/06/2023 10:13:00 AM,CRIMINAL DAMAGE,41.793102,-87.65727
09/06/2023 09:25:00 PM,CRIMINAL TRESPASS,41.74988,-87.66343
09/07/2023 12:00:00 AM,WEAPONS VIOLATION,41.879997,-87.76182
09/06/2023 02:15:00 PM,ASSAULT,41.796936,-87.66102
09/01/2023 10:00:00 AM,CRIMINAL DAMAGE,41.774952,-87.63687
09/06/2023 10:00:00 PM,MOTOR VEHICLE THEFT,42.000267,-87.699715
09/06/2023 10:30:00 AM,ASSAULT,41.96704,-87.78196
09/06/2023 04:35:00 PM,BATTERY,41.965424,-87.655624
09/06/2023 08:20:00 PM,PUBLIC PEACE VIOLATION,41.69134,-87.67749
09/06/2023 08:30:00 AM,ASSAULT,41.9279,-87.74706
09/06/2023 10:15:00 PM,ROBBERY,41.780415,-87.605606
09/06/2023 02:30:00 PM,CRIMINAL DAMAGE,41.87969,-87.731834
